# Total Average          SA_A          CA_A          SA_T          CA_T
         AVG          5.30          5.61           nan           nan
           N          5.43          6.02           nan           nan
           E          5.56          5.78          5.74          6.04
          UP          4.92          5.03          5.22          5.42
# ----------------------------------------------------------------------------------------------
   # Average            BB            B1            B2            B3            SA            CA
           T          7.32          7.19          6.22          8.65           nan           nan
           A          6.85          6.92          5.61          8.68          5.30          5.61
          C1          7.88          8.00          8.37          8.81          6.30          6.61
          C2          7.98          7.94          7.90          8.72          6.14          6.51
          C3          3.38          3.96          1.74          8.89           nan           nan
          C4          5.69          7.21          1.97          9.10          4.57          4.79
          C5          7.43          6.11          5.56          9.39           nan           nan
          C6          8.29          6.24          5.34          9.49          5.27          5.87
          C7          4.65          6.07          3.92          9.48           nan           nan
          C8          7.97          8.18          5.47          9.24          5.72          6.17
          C9          5.39          6.09          5.77          4.04          3.98          4.26
         C10          9.89          9.37         10.00          9.69          7.27          7.79
         C11          0.00          0.00          0.00          0.00          0.00          0.00
# ----------------------------------------------------------------------------------------------
     # North            BB            B1            B2            B3            SA            CA
           T          8.49          7.53          6.17          8.64           nan           nan
           A          8.37          7.42          5.38          8.93          5.43          6.02
          C1          8.05          7.57          7.80          8.10          5.87          6.30
          C2          7.81          7.91          6.94          8.15          5.75          6.16
          C3          8.27          5.01          0.69          9.95           nan           nan
          C4          9.70          7.16          1.19          9.87          4.56          5.58
          C5          8.65          7.87          6.17         10.00           nan           nan
          C6          9.93          8.31          5.27         10.00          5.90          6.70
          C7          6.54          7.30          4.53          9.95           nan           nan
          C8          8.98          8.12          5.73          9.93          5.94          6.55
          C9          5.95          6.61          5.48          3.40          3.87          4.29
         C10          9.86          8.32         10.00         10.00          7.08          7.64
         C11          9.60          7.46          9.99          6.42          5.97          6.69
# ----------------------------------------------------------------------------------------------
      # East            BB            B1            B2            B3            SA            CA
           T          7.25          7.10          7.47          8.38          5.74          6.04
           A          6.70          6.92          7.03          8.27          5.56          5.78
          C1          7.72          7.45          8.24          9.26          6.24          6.53
          C2          8.10          7.24          7.93          9.09          6.06          6.47
          C3          1.83          6.56          4.54          7.97          4.77          4.18
          C4          5.58          8.86          4.73          8.25          5.46          5.48
          C5          7.27          4.89          7.31          8.68          5.22          5.63
          C6          8.52          5.13          7.55          8.82          5.38          6.00
          C7          4.54          4.94          5.48          8.89          4.83          4.77
          C8          7.72          8.04          7.71          8.52          6.07          6.40
          C9          5.76          6.28          6.77          4.10          4.29          4.58
         C10          9.95          9.79         10.00          9.10          7.22          7.77
         C11          9.90          9.75          9.71         10.00          7.36          7.87
# ----------------------------------------------------------------------------------------------
        # Up            BB            B1            B2            B3            SA            CA
           T          6.22          6.93          5.01          8.92          5.22          5.42
           A          5.49          6.42          4.41          8.85          4.92          5.03
          C1          7.88          8.99          9.06          9.07          6.78          7.00
          C2          8.04          8.68          8.83          8.93          6.61          6.90
          C3          0.04          0.30          0.00          8.74          2.26          1.82
          C4          1.80          5.62          0.00          9.18          3.70          3.32
          C5          6.37          5.56          3.19          9.48          4.56          4.92
          C6          6.42          5.27          3.19          9.66          4.53          4.91
          C7          2.88          5.97          1.75          9.61          4.33          4.04
          C8          7.20          8.38          2.96          9.26          5.15          5.56
          C9          4.47          5.39          5.07          4.62          3.77          3.91
         C10          9.85         10.00         10.00          9.98          7.50          7.97
         C11          9.93          9.98          9.98          9.70          7.42          7.92
# ----------------------------------------------------------------------------------------------
